,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
176,Havre,90,US,1556930790,39,48.55,-109.68,62.6,9.17
177,Cayenne,89,GF,1556928000,78,4.94,-52.33,82.4,10.29
178,Anori,80,BR,1556931399,97,-3.74,-61.66,75.37,1.5
179,Sao Filipe,4,CV,1556931399,79,14.9,-24.5,72.31,15.61
180,Victoria,75,BN,1556928000,88,5.28,115.24,82.4,2.24
181,Preobrazheniye,0,RU,1556931400,26,42.9,133.91,65.81,4.05
182,Tuatapere,99,NZ,1556931006,58,-46.13,167.69,66.0,14.0
183,Linxia,62,CN,1556931400,58,35.6,103.21,53.59,3.98
184,Soyaux,60,FR,1556931332,93,45.64,0.19,45.0,1.12
185,Georgetown,40,GY,1556928000,78,6.8,-58.16,80.6,11.41
186,Wajir,23,KE,1556931401,73,1.75,40.07,79.18,14.36
187,Garoua Boulai,100,CM,1556931401,94,5.88,14.55,69.52,1.97
188,Willowmore,74,ZA,1556931401,84,-33.3,23.49,50.83,6.67
189,Ca Mau,56,VN,1556931401,69,9.18,105.15,86.13,3.53
190,Beringovskiy,59,RU,1556931402,61,63.05,179.32,34.94,7.54
191,Charyshskoye,0,RU,1556931402,63,51.4,83.56,34.83,3.53
192,Omboue,100,GA,1556931402,85,-1.57,9.26,81.99,9.42
193,Nouakchott,0,MR,1556929800,82,18.08,-15.98,66.2,10.29
194,Kapit,74,MY,1556931402,84,2.02,112.94,79.63,1.03
195,Kavaratti,96,IN,1556931403,61,10.57,72.64,85.21,9.35
196,Nuevo Progreso,1,US,1556931402,65,26.05,-97.95,84.2,10.29
197,Talnakh,0,RU,1556928000,71,69.49,88.39,8.6,4.47
198,Brawley,20,US,1556927760,8,32.98,-115.53,93.2,5.82
199,Dezhou,100,CN,1556931403,31,37.45,116.31,69.46,13.76
200,Jumla,0,NP,1556931403,47,29.28,82.18,36.54,5.7
201,Kirsanov,0,RU,1556931404,86,52.65,42.73,47.03,7.34
202,Tura,92,IN,1556931404,81,25.52,90.21,76.0,10.22
203,San Cristobal,75,EC,1556930731,52,-0.39,-78.55,64.4,14.99
204,Avarua,100,CK,1556929800,74,-21.21,-159.78,82.4,17.22
205,Soresina,75,IT,1556931367,93,45.29,9.86,55.4,2.24
206,Vila Velha,20,BR,1556931600,83,-3.71,-38.6,80.6,4.7
207,Unai,100,BR,1556931405,86,-16.36,-46.91,70.99,2.21
208,Russell,0,AR,1556928000,68,-33.01,-68.8,66.2,3.36
209,Itarema,52,BR,1556931405,85,-2.92,-39.92,78.64,7.29
210,Kendari,87,ID,1556931406,83,-3.99,122.52,79.87,2.39
211,Chufarovo,56,RU,1556931406,91,54.09,47.33,45.67,6.8
212,Atambua,77,ID,1556931406,71,-9.11,124.89,82.89,6.53
213,Koumac,0,NC,1556931406,59,-20.56,164.28,78.17,9.89
214,Khatanga,54,RU,1556931406,91,71.98,102.47,15.34,3.78
215,Norman Wells,20,CA,1556928000,53,65.28,-126.83,24.8,6.93
216,Paciran,16,ID,1556931406,84,-6.9,112.33,77.15,4.92
217,Ahipara,0,NZ,1556931329,85,-35.17,173.16,72.0,8.3
218,Faya,40,SA,1556928000,35,18.39,42.45,69.8,4.7
219,Leningradskiy,14,RU,1556931407,82,69.38,178.42,30.51,8.48
220,Wanaka,100,NZ,1556931407,74,-44.7,169.14,53.1,9.15
221,Basco,90,US,1556931316,76,40.33,-91.2,55.0,3.36
222,Kudahuvadhoo,100,MV,1556931408,77,2.67,72.89,84.44,11.48
223,Lebu,20,ET,1556928000,41,8.96,38.73,60.8,2.24
224,Gorontalo,12,ID,1556931135,66,0.54,123.06,84.46,1.63
225,Narsaq,100,GL,1556931408,48,60.91,-46.05,47.0,6.69
226,Estelle,5,US,1556931394,64,32.87,-97.01,73.99,9.17
227,Aripuana,99,BR,1556931383,97,-9.17,-60.63,74.75,0.72
228,Nhulunbuy,40,AU,1556928000,70,-12.18,136.78,84.2,16.11
229,Tynda,71,RU,1556931409,41,55.15,124.74,33.37,10.58
230,Shache,1,CN,1556931409,19,38.42,77.24,59.11,1.79
231,Bosanska Krupa,82,BA,1556931409,92,44.88,16.15,49.73,3.76
232,Moose Factory,90,CA,1556928000,55,51.26,-80.61,37.4,6.93
233,Kang,0,BW,1556931409,24,-23.67,22.79,63.85,5.95
234,Mount Gambier,90,AU,1556928000,71,-37.83,140.78,53.6,11.41
235,Kieta,90,PG,1556931410,60,-6.22,155.63,88.0,3.04
236,Castro,90,CL,1556928000,100,-42.48,-73.76,51.8,4.7
237,Luanda,75,AO,1556928000,83,-8.83,13.24,78.8,9.17
238,Alfenas,92,BR,1556931115,93,-21.43,-45.95,66.31,0.87
239,Chandla,5,IN,1556931411,47,25.06,80.17,87.68,4.74
240,Silifke,0,TR,1556931411,41,36.38,33.93,56.18,7.56
241,Hays,1,US,1556930792,59,38.88,-99.33,64.99,6.93
242,Airai,78,TL,1556931411,67,-8.93,125.41,81.27,3.13
243,Kununurra,58,AU,1556928000,55,-15.77,128.74,87.8,10.29
244,Talaya,0,RU,1556931323,48,55.79,84.89,42.01,4.47
245,Poya,0,NC,1556931412,58,-21.35,165.16,77.65,11.05
246,Acapulco,40,MX,1556927100,83,16.86,-99.88,80.6,8.05
247,Cidreira,97,BR,1556931412,90,-30.17,-50.22,72.95,4.94
248,Cukai,75,MY,1556928000,94,4.25,103.42,80.6,1.41
249,Xining,89,CN,1556931412,68,36.62,101.77,45.92,4.38
250,Miyako,0,JP,1556931325,33,33.63,130.94,79.0,6.93
251,Valleyview,100,CA,1556931413,45,55.07,-117.28,34.11,4.72
252,San Francisco,1,US,1556931199,82,37.78,-122.42,73.4,12.75
253,Dromolaxia,0,CY,1556930792,77,34.88,33.59,60.8,2.24
254,Necochea,17,AR,1556930204,78,-38.55,-58.74,55.99,1.01
255,Pangai,75,TO,1556928000,65,-19.8,-174.35,78.8,18.34
256,Methoni,20,GR,1556931348,87,36.82,21.7,60.01,3.09
257,Tupelo,1,US,1556931179,100,34.26,-88.7,75.2,1.74
258,Karratha,5,AU,1556931414,24,-20.74,116.85,80.87,11.23
259,Midland,24,US,1556930100,56,32.0,-102.08,75.2,12.75
260,Mendoza,0,AR,1556928000,68,-32.89,-68.84,66.2,3.36
261,Balkanabat,87,TM,1556931414,32,39.51,54.36,78.01,9.06
262,Port Hardy,40,CA,1556928000,62,50.7,-127.42,55.4,17.22
263,Sisimiut,7,GL,1556931220,71,66.94,-53.67,38.9,13.11
264,Chumikan,100,RU,1556931415,91,54.72,135.31,35.19,6.76
265,Anahuac,75,US,1556931230,83,29.77,-94.68,78.01,9.17
266,Baykit,99,RU,1556931415,89,61.68,96.39,34.45,9.86
267,Chandia,71,IN,1556931308,49,23.65,80.7,82.6,9.01
268,Vardo,75,US,1556931289,93,39.62,-77.74,70.0,9.17
269,Jutai,46,BR,1556931415,99,-1.71,-47.89,74.77,2.66
270,Urengoy,94,RU,1556931415,98,65.96,78.37,33.75,4.7
271,Jijiang,0,CN,1556929839,42,29.8,120.61,69.01,2.24
272,Soe,20,EE,1556931369,95,57.91,26.05,32.0,8.05
273,Leninskoye,21,RU,1556929800,64,54.82,82.85,37.4,2.24
274,Tomohon,20,ID,1556929800,59,1.33,124.84,91.4,1.12
275,Soma,20,JP,1556930835,44,37.8,140.92,70.0,4.7
276,Okakarara,0,NA,1556931416,25,-20.59,17.46,58.99,6.15
277,Ampanihy,0,MG,1556931417,58,-24.69,44.75,72.04,5.93
278,Kruisfontein,55,ZA,1556931417,86,-34.0,24.73,54.4,8.37
279,Brae,81,GB,1556929200,86,60.4,-1.35,39.2,18.34
280,Ponta do Sol,100,BR,1556931417,93,-20.63,-46.0,66.89,2.44
281,Nichinan,0,JP,1556930923,56,31.65,131.31,71.01,4.7
282,Payo,54,ID,1556931418,89,-3.75,103.64,73.96,2.24
283,Ust-Omchug,98,RU,1556931418,92,61.13,149.63,33.1,2.39
284,Jaguarari,1,BR,1556931306,85,-10.26,-40.2,69.39,5.91
285,Canutama,85,BR,1556931242,97,-6.53,-64.38,75.58,1.86
286,Savelugu,77,GH,1556931418,45,9.63,-0.83,92.7,12.35
287,Codrington,75,AU,1556931068,83,-28.95,153.24,73.4,7.0
288,Krasnovishersk,100,RU,1556931418,94,60.4,57.08,48.42,8.77
289,Hamilton,75,BM,1556927700,73,32.3,-64.78,71.6,4.7
290,Salamanca,0,ES,1556930510,70,40.97,-5.66,48.99,12.75
291,George,75,NG,1556928000,100,6.63,3.35,73.4,2.24
292,Bezhetsk,25,RU,1556931419,72,57.78,36.69,33.52,6.04
293,Erzin,0,TR,1556929200,87,36.95,36.2,61.0,3.36
294,Nome,75,US,1556931410,83,30.04,-94.42,77.0,9.17
295,Batagay-Alyta,44,RU,1556931420,75,67.8,130.41,19.37,2.84
296,Tual,100,ID,1556931420,83,-5.67,132.75,80.21,3.69
297,Tabory,95,PL,1556931367,85,53.89,19.53,42.01,6.89
298,Solton,0,RU,1556931420,50,52.84,86.48,34.63,6.15
299,Serenje,9,ZM,1556931421,98,-13.23,30.22,58.01,3.65
300,Zyryanovsk,22,KZ,1556931421,55,49.74,84.27,37.04,5.59
301,Tiarei,40,PF,1556931182,58,-17.53,-149.33,84.2,5.82
302,Isangel,75,VU,1556928000,69,-19.55,169.27,78.8,17.22
303,Aklavik,20,CA,1556928000,50,68.22,-135.01,30.2,10.29
304,Fuxin,36,CN,1556931422,23,42.02,121.65,71.8,13.31
305,Guerrero Negro,17,MX,1556931422,83,27.97,-114.04,61.94,12.64
306,Alugan,52,PH,1556931422,66,12.22,125.48,84.65,3.29
307,Shimoda,75,JP,1556930585,82,34.7,138.93,68.0,10.29
308,Okoneshnikovo,100,RU,1556931422,38,54.84,75.08,49.1,12.21
309,Puerto Escondido,5,MX,1556927100,66,15.86,-97.07,86.0,11.41
310,Marawi,9,PH,1556930829,67,8.0,124.29,82.99,5.01
311,Carnarvon,0,ZA,1556931423,49,-30.97,22.13,54.92,7.4
312,Usakos,0,NA,1556931423,28,-22.0,15.59,71.6,3.96
313,Richards Bay,84,ZA,1556931423,78,-28.77,32.06,76.18,19.33
314,Batsfjord,92,NO,1556931423,65,70.63,29.72,30.17,3.31
315,Egvekinot,100,RU,1556931423,82,66.32,-179.17,27.56,13.85
316,Narwar,36,IN,1556931424,28,25.64,77.91,85.55,3.62
317,Santa Isabel do Rio Negro,100,BR,1556931424,90,-0.41,-65.02,77.26,1.9
318,Katobu,100,ID,1556931424,79,-4.94,122.53,83.0,0.72
319,Banda Aceh,49,ID,1556931248,74,5.56,95.32,84.96,8.9
320,Raigarh,100,IN,1556931424,61,21.9,83.39,79.25,1.7
321,Jinchang,96,CN,1556931424,56,38.52,102.19,54.25,7.11
322,Newton,1,US,1556931405,62,41.7,-93.05,60.01,5.82
323,Sao Joao da Barra,88,BR,1556931425,96,-21.64,-41.05,73.04,4.36
324,Patea,74,NZ,1556931014,62,-39.76,174.48,64.99,14.7
325,Itaituba,72,BR,1556931425,97,-4.26,-55.99,75.33,0.96
326,Karasjok,95,NO,1556929200,68,69.47,25.52,26.6,13.87
327,Erenhot,70,CN,1556931426,39,43.65,111.97,58.91,24.4
328,Bethel,90,US,1556930220,93,60.79,-161.76,44.6,17.22
329,Oksfjord,94,NO,1556931307,92,70.24,22.35,27.0,14.41
330,Bayanday,0,RU,1556931427,38,53.07,105.52,33.73,3.27
331,Eldama Ravine,0,KE,1556928000,72,0.05,35.72,62.6,9.17
332,Boca do Acre,91,BR,1556931427,97,-8.76,-67.39,75.56,2.17
333,Caborca,0,MX,1556931195,13,30.58,-111.1,90.0,1.99
334,Teahupoo,40,PF,1556931182,58,-17.83,-149.27,84.2,5.82
335,Aquiraz,0,BR,1556930891,83,-3.9,-38.39,80.6,5.82
336,Bambous Virieux,75,MU,1556931241,83,-20.34,57.76,73.4,14.99
337,Hualmay,4,PE,1556931428,92,-11.1,-77.61,65.0,14.03
338,Lavrentiya,100,RU,1556931428,95,65.58,-170.99,28.12,5.08
339,Byron Bay,100,AU,1556931068,83,-28.65,153.62,73.99,6.93
340,Awjilah,22,LY,1556931429,20,29.14,21.3,77.27,10.89
341,Broome,100,GB,1556931425,86,52.47,1.45,42.8,3.36
342,Barcelos,0,PT,1556931364,76,41.53,-8.62,64.0,3.36
343,Sitka,39,US,1556930752,80,37.17,-99.65,61.0,3.0
344,Gobabis,0,NA,1556928000,22,-22.45,18.97,57.2,1.12
345,Eyl,1,SO,1556931430,81,7.98,49.82,80.75,9.66
346,Mount Isa,75,AU,1556929800,53,-20.73,139.49,71.6,14.99
347,Qaqortoq,100,GL,1556931430,48,60.72,-46.03,47.0,6.69
348,High Level,75,CA,1556928000,31,58.52,-117.13,35.6,10.29
349,Comodoro Rivadavia,0,AR,1556928000,56,-45.87,-67.48,39.2,4.7
350,Almaznyy,0,RU,1556929800,87,48.03,40.04,51.8,8.95
351,Vazhiny,100,RU,1556931431,73,60.96,34.04,30.49,11.21
352,Padang,20,ID,1556929800,78,-0.92,100.36,82.4,4.7
353,Arica,0,CL,1556928000,68,-18.48,-70.32,66.2,3.36
354,Yulara,0,AU,1556928000,31,-25.24,130.99,64.4,16.11
355,La Romana,40,DO,1556928000,83,18.43,-68.97,78.8,9.91
356,Ancud,90,CL,1556928000,100,-41.87,-73.83,51.8,4.7
357,Okha,1,RU,1556931432,82,53.59,142.95,35.23,4.16
358,Ayan,0,TR,1556931432,84,40.67,33.6,36.47,2.01
359,Zabol,0,IR,1556928000,40,31.03,61.49,69.8,18.34
360,Walvis Bay,0,NA,1556928128,87,-22.95,14.51,55.4,2.24
361,Nanakuli,90,US,1556931185,74,21.39,-158.15,82.0,8.05
362,Upernavik,0,GL,1556931433,90,72.79,-56.15,28.6,13.47
363,Maamba,0,ZM,1556931433,59,-17.36,27.22,63.99,4.32
364,San Juan de Uraba,100,CO,1556931433,84,8.76,-76.53,84.28,16.42
365,Buala,66,SB,1556931433,75,-8.15,159.59,83.74,5.61
366,Taiyuan,5,CN,1556929800,59,37.86,112.56,64.4,4.47
367,Aden,0,YE,1556931434,37,12.79,45.03,86.94,6.82
368,Vestmannaeyjar,33,IS,1556931434,65,63.44,-20.27,40.95,6.85
369,Arlit,13,NE,1556931434,7,18.74,7.39,85.01,4.92
370,Shieli,0,KZ,1556931434,43,44.18,66.74,53.8,16.53
371,Taoudenni,32,ML,1556931434,11,22.68,-3.98,85.72,9.66
372,Quatre Cocos,75,MU,1556931241,83,-20.21,57.76,73.4,14.99
373,Kasongo-Lunda,100,CD,1556931435,85,-6.48,16.82,69.71,2.46
374,Poum,91,MK,1556931435,77,41.28,20.71,41.8,1.3
375,Selenduma,1,RU,1556931435,47,50.92,106.24,34.43,4.38
